Session_ID,Assigned_Course,Session_Type,Assigned_Section
LAB_CNC311_Level3_AID_Sec1,CNC311,LAB,Level3_AID_Sec1
LAB_CNC311_Level3_AID_Sec2,CNC311,LAB,Level3_AID_Sec2
LAB_CNC311_Level3_AID_Sec3,CNC311,LAB,Level3_AID_Sec3
LAB_CNC311_Level3_AID_Sec4,CNC311,LAB,Level3_AID_Sec4
LAB_AID312_Level3_AID_Sec1,AID312,LAB,Level3_AID_Sec1
LAB_AID312_Level3_AID_Sec2,AID312,LAB,Level3_AID_Sec2
LAB_AID312_Level3_AID_Sec3,AID312,LAB,Level3_AID_Sec3
LAB_AID312_Level3_AID_Sec4,AID312,LAB,Level3_AID_Sec4
TUT_AID312_Level3_AID_Sec1,AID312,TUT,Level3_AID_Sec1
TUT_AID312_Level3_AID_Sec2,AID312,TUT,Level3_AID_Sec2
TUT_AID312_Level3_AID_Sec3,AID312,TUT,Level3_AID_Sec3
TUT_AID312_Level3_AID_Sec4,AID312,TUT,Level3_AID_Sec4
LAB_CNC314_Level3_AID_Sec1,CNC314,LAB,Level3_AID_Sec1
LAB_CNC314_Level3_AID_Sec2,CNC314,LAB,Level3_AID_Sec2
LAB_CNC314_Level3_AID_Sec3,CNC314,LAB,Level3_AID_Sec3
LAB_CNC314_Level3_AID_Sec4,CNC314,LAB,Level3_AID_Sec4
LAB_AID311_Level3_AID_Sec1,AID311,LAB,Level3_AID_Sec1
LAB_AID311_Level3_AID_Sec2,AID311,LAB,Level3_AID_Sec2
LAB_AID311_Level3_AID_Sec3,AID311,LAB,Level3_AID_Sec3
LAB_AID311_Level3_AID_Sec4,AID311,LAB,Level3_AID_Sec4
TUT_AID311_Level3_AID_Sec1,AID311,TUT,Level3_AID_Sec1
TUT_AID311_Level3_AID_Sec2,AID311,TUT,Level3_AID_Sec2
TUT_AID311_Level3_AID_Sec3,AID311,TUT,Level3_AID_Sec3
TUT_AID311_Level3_AID_Sec4,AID311,TUT,Level3_AID_Sec4
LAB_CSC317_Level3_AID_Sec1,CSC317,LAB,Level3_AID_Sec1
LAB_CSC317_Level3_AID_Sec2,CSC317,LAB,Level3_AID_Sec2
LAB_CSC317_Level3_AID_Sec3,CSC317,LAB,Level3_AID_Sec3
LAB_CSC317_Level3_AID_Sec4,CSC317,LAB,Level3_AID_Sec4
LAB_ECE324_Level3_AID_Sec1,ECE324,LAB,Level3_AID_Sec1
LAB_ECE324_Level3_AID_Sec2,ECE324,LAB,Level3_AID_Sec2
LAB_ECE324_Level3_AID_Sec3,ECE324,LAB,Level3_AID_Sec3
LAB_ECE324_Level3_AID_Sec4,ECE324,LAB,Level3_AID_Sec4
TUT_ECE324_Level3_AID_Sec1,ECE324,TUT,Level3_AID_Sec1
TUT_ECE324_Level3_AID_Sec2,ECE324,TUT,Level3_AID_Sec2
TUT_ECE324_Level3_AID_Sec3,ECE324,TUT,Level3_AID_Sec3
TUT_ECE324_Level3_AID_Sec4,ECE324,TUT,Level3_AID_Sec4
LAB_CNC312_Level3_CNC_Sec1,CNC312,LAB,Level3_CNC_Sec1
LAB_CNC312_Level3_CNC_Sec2,CNC312,LAB,Level3_CNC_Sec2
LAB_CNC312_Level3_CNC_Sec3,CNC312,LAB,Level3_CNC_Sec3
LAB_CNC312_Level3_CNC_Sec4,CNC312,LAB,Level3_CNC_Sec4
LAB_CNC311_Level3_CNC_Sec1,CNC311,LAB,Level3_CNC_Sec1
LAB_CNC311_Level3_CNC_Sec2,CNC311,LAB,Level3_CNC_Sec2
LAB_CNC311_Level3_CNC_Sec3,CNC311,LAB,Level3_CNC_Sec3
LAB_CNC311_Level3_CNC_Sec4,CNC311,LAB,Level3_CNC_Sec4
LAB_AID312_Level3_CNC_Sec1,AID312,LAB,Level3_CNC_Sec1
LAB_AID312_Level3_CNC_Sec2,AID312,LAB,Level3_CNC_Sec2
LAB_AID312_Level3_CNC_Sec3,AID312,LAB,Level3_CNC_Sec3
LAB_AID312_Level3_CNC_Sec4,AID312,LAB,Level3_CNC_Sec4
TUT_AID312_Level3_CNC_Sec1,AID312,TUT,Level3_CNC_Sec1
TUT_AID312_Level3_CNC_Sec2,AID312,TUT,Level3_CNC_Sec2
TUT_AID312_Level3_CNC_Sec3,AID312,TUT,Level3_CNC_Sec3
TUT_AID312_Level3_CNC_Sec4,AID312,TUT,Level3_CNC_Sec4
LAB_CNC314_Level3_CNC_Sec1,CNC314,LAB,Level3_CNC_Sec1
LAB_CNC314_Level3_CNC_Sec2,CNC314,LAB,Level3_CNC_Sec2
LAB_CNC314_Level3_CNC_Sec3,CNC314,LAB,Level3_CNC_Sec3
LAB_CNC314_Level3_CNC_Sec4,CNC314,LAB,Level3_CNC_Sec4
LAB_CSC317_Level3_CNC_Sec1,CSC317,LAB,Level3_CNC_Sec1
LAB_CSC317_Level3_CNC_Sec2,CSC317,LAB,Level3_CNC_Sec2
LAB_CSC317_Level3_CNC_Sec3,CSC317,LAB,Level3_CNC_Sec3
LAB_CSC317_Level3_CNC_Sec4,CSC317,LAB,Level3_CNC_Sec4
LAB_ECE324_Level3_CNC_Sec1,ECE324,LAB,Level3_CNC_Sec1
LAB_ECE324_Level3_CNC_Sec2,ECE324,LAB,Level3_CNC_Sec2
LAB_ECE324_Level3_CNC_Sec3,ECE324,LAB,Level3_CNC_Sec3
LAB_ECE324_Level3_CNC_Sec4,ECE324,LAB,Level3_CNC_Sec4
TUT_ECE324_Level3_CNC_Sec1,ECE324,TUT,Level3_CNC_Sec1
TUT_ECE324_Level3_CNC_Sec2,ECE324,TUT,Level3_CNC_Sec2
TUT_ECE324_Level3_CNC_Sec3,ECE324,TUT,Level3_CNC_Sec3
TUT_ECE324_Level3_CNC_Sec4,ECE324,TUT,Level3_CNC_Sec4
LAB_CNC311_Level3_CSC,CNC311,LAB,Level3_CSC
LAB_AID312_Level3_CSC,AID312,LAB,Level3_CSC
TUT_AID312_Level3_CSC,AID312,TUT,Level3_CSC
LAB_CNC314_Level3_CSC,CNC314,LAB,Level3_CSC
LAB_CSC317_Level3_CSC,CSC317,LAB,Level3_CSC
LAB_ECE324_Level3_CSC,ECE324,LAB,Level3_CSC
TUT_ECE324_Level3_CSC,ECE324,TUT,Level3_CSC
LAB_CSC314_Level3_CSC,CSC314,LAB,Level3_CSC
LAB_CNC311_Level3_BIF,CNC311,LAB,Level3_BIF
LAB_AID312_Level3_BIF,AID312,LAB,Level3_BIF
TUT_AID312_Level3_BIF,AID312,TUT,Level3_BIF
LAB_CNC314_Level3_BIF,CNC314,LAB,Level3_BIF
LAB_CSC317_Level3_BIF,CSC317,LAB,Level3_BIF
LAB_ECE324_Level3_BIF,ECE324,LAB,Level3_BIF
TUT_ECE324_Level3_BIF,ECE324,TUT,Level3_BIF
LAB_BIF311_Level3_BIF,BIF311,LAB,Level3_BIF
TUT_BIF311_Level3_BIF,BIF311,TUT,Level3_BIF
LAB_CSC315_Level3_BIF,CSC315,LAB,Level3_BIF
TUT_CSC315_Level3_BIF,CSC315,TUT,Level3_BIF
